N,S_wide,S_narrow,S_exact
100,1.15193,1.0584,0.944517
600,1.13448,0.931,0.944517
1100,1.01865,0.958618,0.944517
1600,0.929402,0.9359,0.944517
2100,0.957452,0.944533,0.944517
2600,0.954575,0.949846,0.944517
3100,1.02019,0.930684,0.944517
3600,0.983217,0.968567,0.944517
4100,0.991022,0.933629,0.944517
4600,0.878749,0.929722,0.944517
5100,0.946599,0.961553,0.944517
5600,0.912572,0.94885,0.944517
6100,0.89099,0.940157,0.944517
6600,0.894892,0.954461,0.944517
7100,0.887919,0.944941,0.944517
7600,0.906667,0.952921,0.944517
8100,0.958007,0.958222,0.944517
8600,1.00581,0.937837,0.944517
9100,0.935588,0.962554,0.944517
9600,0.92722,0.954071,0.944517
10100,0.952861,0.937307,0.944517
10600,0.987937,0.957996,0.944517
11100,0.957587,0.94804,0.944517
11600,0.910895,0.932521,0.944517
12100,0.94855,0.939666,0.944517
12600,0.94831,0.945933,0.944517
13100,0.928902,0.962195,0.944517
13600,0.967133,0.946997,0.944517
14100,0.920954,0.932738,0.944517
14600,0.972618,0.951674,0.944517
15100,0.89672,0.937944,0.944517
15600,0.948534,0.943438,0.944517
16100,0.971112,0.9464,0.944517
16600,0.960156,0.952253,0.944517
17100,0.968826,0.948823,0.944517
17600,0.924642,0.943027,0.944517
18100,0.926292,0.94459,0.944517
18600,0.914341,0.94649,0.944517
19100,0.935365,0.936593,0.944517
19600,0.909366,0.9359,0.944517
20100,0.944576,0.94197,0.944517
20600,0.907416,0.949173,0.944517
21100,0.984679,0.943958,0.944517
21600,0.926008,0.953322,0.944517
22100,0.960972,0.947895,0.944517
22600,0.975391,0.94028,0.944517
23100,0.947932,0.937406,0.944517
23600,0.948705,0.942046,0.944517
24100,0.90773,0.932749,0.944517
24600,0.943769,0.937454,0.944517
25100,0.931645,0.94447,0.944517
25600,0.944947,0.941795,0.944517
26100,0.942492,0.950938,0.944517
26600,0.935406,0.937926,0.944517
27100,0.916602,0.938703,0.944517
27600,0.942492,0.950032,0.944517
28100,0.928703,0.952239,0.944517
28600,0.949449,0.944227,0.944517
29100,0.963724,0.939049,0.944517
29600,0.95912,0.942853,0.944517
30100,0.972413,0.945944,0.944517
30600,0.944203,0.945092,0.944517
31100,0.939125,0.953468,0.944517
31600,0.946469,0.947313,0.944517
32100,0.970875,0.949104,0.944517
32600,0.967869,0.937914,0.944517
33100,0.94882,0.939556,0.944517
33600,0.943116,0.9408,0.944517
34100,0.96184,0.953273,0.944517
34600,0.923424,0.944369,0.944517
35100,0.963377,0.9451,0.944517
35600,0.926902,0.956436,0.944517
36100,0.943072,0.948835,0.944517
36600,0.953651,0.956866,0.944517
37100,0.95717,0.943864,0.944517
37600,0.948063,0.941478,0.944517
38100,0.94634,0.944041,0.944517
38600,0.930555,0.942171,0.944517
39100,0.948384,0.945512,0.944517
39600,0.956508,0.945552,0.944517
40100,0.930218,0.947545,0.944517
40600,0.953068,0.948572,0.944517
41100,0.92593,0.943089,0.944517
41600,0.930912,0.941742,0.944517
