N,error_wide,error_narrow
100,0.219602,0.120573
600,0.201123,0.0143112
1100,0.0784909,0.0149293
1600,0.016003,0.00912338
2100,0.0136951,1.7096e-05
2600,0.0106491,0.005642
3100,0.0801166,0.0146459
3600,0.0409733,0.0254622
4100,0.0492362,0.0115275
4600,0.0696318,0.0156646
5100,0.00220406,0.0180365
5600,0.0338219,0.00458733
6100,0.0566716,0.00461591
6600,0.0525407,0.0105275
7100,0.0599227,0.000448546
7600,0.0400741,0.00889753
8100,0.0142817,0.0145101
8600,0.0648955,0.00707237
9100,0.0094542,0.0190962
9600,0.0183129,0.0101148
10100,0.00883362,0.0076338
10600,0.0459708,0.0142708
11100,0.0138378,0.00372937
11600,0.0355969,0.0127012
12100,0.00427024,0.00513603
12600,0.00401571,0.00149933
13100,0.016532,0.0187167
13600,0.0239438,0.00262555
14100,0.0249475,0.0124716
14600,0.029751,0.00757719
15100,0.0506049,0.00695892
15600,0.00425261,0.00114209
16100,0.0281568,0.00199341
16600,0.0165576,0.00819024
17100,0.0257364,0.00455916
17600,0.0210427,0.00157743
18100,0.0192955,7.71498e-05
18600,0.0319484,0.00208904
19100,0.00969022,0.00839002
19600,0.0372159,0.00912338
20100,6.25263e-05,0.00269665
20600,0.0392809,0.00492911
21100,0.0425205,0.000591722
21600,0.0195961,0.00932226
22100,0.0174219,0.00357626
22600,0.0326879,0.00448646
23100,0.00361573,0.00752885
23600,0.00443331,0.0026166
24100,0.0389482,0.01246
24600,0.000791791,0.00747845
25100,0.0136287,4.98311e-05
25600,0.000454684,0.00288176
26100,0.0021439,0.00679791
26600,0.00964658,0.00697803
27100,0.0295553,0.00615616
27600,0.0021439,0.00583864
28100,0.0167428,0.00817556
28600,0.00522178,0.000307684
29100,0.0203355,0.00578961
29600,0.0154609,0.00176226
30100,0.0295341,0.00151082
30600,0.000332251,0.000608054
31100,0.00570894,0.0094761
31600,0.00206646,0.00295968
32100,0.0279058,0.00485631
32600,0.0247241,0.00699095
33100,0.00455537,0.00525209
33600,0.00148394,0.00393554
34100,0.01834,0.00926986
34600,0.0223317,0.000157117
35100,0.0199675,0.000616748
35600,0.0186503,0.0126189
36100,0.00152965,0.00457193
36600,0.00967043,0.0130738
37100,0.0133962,0.000691396
37600,0.0037536,0.00321807
38100,0.00193017,0.000504216
38600,0.0147823,0.00248402
39100,0.00409447,0.00105327
39600,0.0126952,0.00109509
40100,0.015139,0.00320582
40600,0.00905262,0.00429344
41100,0.0196785,0.00151203
41600,0.0144039,0.00293788
42100,0.0287429,0.000697776
42600,0.0021439,0.00419938
43100,0.024267,0.00858267
43600,0.0204884,3.27653e-05
44100,0.0157202,0.00233566
44600,0.00462984,0.00146957
45100,0.0100107,0.00324231
45600,0.00806808,0.00179838
46100,0.015894,0.00357543
46600,0.0140401,0.00153088
47100,0.00844905,0.00522853
47600,0.0163524,0.00642047
48100,0.00592378,0.00128465
48600,0.00492824,0.00786378
49100,0.00349876,0.00854225
49600,0.00433859,0.000965086
50100,0.00250347,0.00443127
50600,0.00837369,0.0034024
51100,0.00132766,0.00174264
51600,0.011813,0.00860057
52100,0.0049104,0.00210337
52600,0.0117679,0.00369883
53100,0.0014057,0.000105726
53600,0.0122797,0.0002457
54100,0.0101366,0.00527805
54600,0.00701743,0.0102066
55100,0.0190465,0.000244857
55600,0.0139092,0.0122958
56100,0.00609659,0.000273539
56600,0.00586578,0.00892173
57100,0.00406964,0.000679907
57600,0.00888097,0.000747922
58100,0.00805967,0.00514991
58600,0.0215065,0.0074059
59100,0.00292136,0.00368382
59600,0.00343695,0.00358736
60100,0.00546455,0.00269253
60600,0.032515,0.00226247
61100,0.000578021,0.000445676
61600,0.0108153,0.00118492
62100,0.0139246,0.00493802
62600,0.0173756,0.00257643
63100,0.00319816,0.0012934
63600,0.0149403,0.000534481
64100,0.00512078,0.00134567
64600,0.00969561,0.00123623
65100,0.00742356,0.00110088
65600,0.00022229,0.00115182
66100,0.00650501,0.00341062
66600,0.00613932,0.00425906
