size,time_micros
500,92
600,163
700,180
800,247
900,200
1000,212
1100,247
1200,267
1300,287
1400,303
1500,322
1600,343
1700,389
1800,406
1900,444
2000,693
2100,726
2200,720
2300,717
2400,804
2500,617
2600,654
2700,661
2800,693
2900,720
3000,736
3100,751
3200,795
3300,792
3400,814
3500,851
3600,865
3700,900
3800,899
3900,983
4000,1344
4100,1527
4200,1569
4300,1710
4400,1652
4500,1372
4600,1433
4700,1437
4800,1581
4900,1604
5000,1773
5100,1403
5200,1435
5300,1461
5400,1472
5500,1721
5600,1519
5700,1548
5800,1589
5900,1606
6000,1619
6100,1658
6200,1668
6300,1945
6400,1721
6500,1785
6600,2051
6700,1998
6800,2124
6900,2145
7000,2163
7100,2197
7200,2240
7300,2323
7400,2304
7500,2321
7600,2334
7700,2049
7800,2177
7900,2616
8000,2357
8100,2477
8200,2544
8300,2567
8400,2599
8500,2600
8600,2632
8700,2900
8800,2713
8900,2758
9000,3223
9100,3237
9200,3039
9300,3072
9400,3052
9500,3474
9600,2907
9700,2958
9800,2998
9900,3056
10000,3309
10100,3062
10200,3069
10300,3281
10400,3316
10500,3169
10600,3185
10700,3481
10800,3541
10900,3255
11000,3674
11100,3304
11200,3882
11300,3359
11400,3484
11500,3995
11600,4074
11700,3558
11800,4078
11900,4135
12000,3598
12100,3620
12200,3623
12300,3739
12400,3725
12500,4008
12600,3768
12700,3891
12800,3793
12900,3922
13000,3829
13100,4227
13200,3859
13300,3935
13400,3963
13500,4282
13600,3990
13700,4087
13800,4322
13900,4105
14000,4105
14100,4148
14200,4451
14300,4257
14400,4314
14500,4273
14600,4731
14700,4419
14800,5024
14900,4406
15000,4420
15100,4465
15200,4487
15300,4507
15400,5105
15500,4663
15600,4949
15700,6348
15800,6417
15900,6650
16000,5144
16100,5224
16200,5334
16300,5493
16400,5673
16500,5563
16600,6404
16700,6469
16800,5705
16900,5713
17000,5675
17100,5737
17200,6117
17300,5784
17400,5835
17500,6104
17600,6905
17700,6265
17800,6959
17900,7720
18000,7973
18100,7755
18200,6135
18300,6369
18400,6132
18500,6723
18600,6228
18700,6307
18800,6762
18900,6596
19000,6296
19100,6765
19200,6427
19300,6488
19400,6473
19500,6570
19600,6676
19700,6611
19800,6888
19900,6613
20000,7162
20100,7218
20200,6748
20300,6700
20400,7257
20500,7222
20600,7315
20700,6852
20800,7925
20900,7946
21000,7943
21100,8068
21200,7147
21300,7014
21400,7550
21500,7124
21600,7392
21700,7162
21800,7621
21900,7190
22000,7227
22100,7777
22200,7821
22300,11920
22400,10856
22500,8439
22600,7397
22700,7424
22800,7441
22900,7628
23000,7644
23100,8054
23200,8012
23300,8086
23400,8176
23500,7692
23600,8358
23700,7939
23800,8995
23900,9057
24000,8223
24100,11126
24200,10334
24300,8031
24400,7940
24500,8168
24600,9201
24700,10820
24800,10463
24900,8514
25000,8171
25100,8484
25200,10695
25300,11095
25400,8492
25500,8913
25600,8843
25700,8877
25800,8835
25900,9054
26000,8969
26100,9014
26200,8880
26300,9656
26400,8524
26500,9139
26600,9122
26700,8824
26800,8686
26900,9370
27000,8683
27100,9345
27200,9003
27300,9652
27400,8845
27500,9523
27600,8941
27700,9260
27800,12211
27900,11813
28000,9539
28100,9515
28200,9108
28300,9385
28400,9655
28500,9316
28600,9544
28700,9669
28800,9759
28900,9834
29000,9940
29100,9916
29200,9956
29300,9464
29400,10222
29500,9537
29600,10963
29700,9509
29800,10051
29900,9963
30000,9619
30100,10170
30200,10716
30300,12358
30400,12460
30500,12528
30600,12034
30700,10347
30800,9979
30900,10402
31000,10277
31100,10997
31200,10386
31300,10846
31400,10798
31500,11189
31600,11293
31700,11247
31800,11149
31900,11989
32000,14216
32100,13390
32200,12304
32300,11389
32400,11925
32500,12427
32600,11728
32700,12380
32800,12254
32900,15570
33000,14724
33100,12302
33200,12130
33300,12484
33400,12829
33500,12673
33600,12723
33700,12834
33800,13154
33900,12343
34000,13335
34100,13003
34200,12912
34300,13193
34400,13046
34500,12627
34600,12723
34700,13192
34800,13689
34900,12622
35000,13655
35100,12842
35200,13248
35300,13857
35400,12798
35500,13683
35600,13030
35700,13166
35800,13939
35900,13574
36000,13049
36100,13955
36200,13549
36300,13407
36400,13255
36500,13767
36600,13659
36700,17144
36800,16151
36900,13813
37000,13561
37100,13905
37200,14014
37300,17778
37400,16500
37500,14595
37600,14053
37700,14716
37800,14477
37900,18270
38000,16053
38100,14217
38200,14468
38300,14300
38400,15410
38500,13772
38600,14357
38700,14698
38800,14719
38900,18964
39000,16366
39100,14539
39200,14312
39300,15097
39400,15137
39500,14670
39600,14647
39700,14265
39800,14816
39900,14758
40000,15557
40100,18651
40200,16823
40300,15533
40400,15481
40500,15103
40600,16486
40700,19556
40800,15539
40900,15727
41000,15302
41100,15676
41200,15784
41300,15369
41400,15788
41500,15642
41600,15402
41700,15510
41800,15332
41900,14953
42000,15981
42100,16138
42200,15891
42300,15448
42400,15710
42500,16556
42600,17711
42700,16484
42800,16315
42900,15743
43000,15458
43100,15299
43200,15893
43300,15489
43400,16535
43500,16497
43600,16634
43700,16274
43800,15932
43900,15674
44000,16183
44100,15870
44200,16867
44300,17188
44400,16294
44500,15998
44600,16206
44700,16422
44800,16153
44900,16653
45000,16291
45100,16108
45200,16372
45300,20648
45400,17040
45500,16697
45600,16265
45700,16893
45800,16754
45900,16680
46000,16798
46100,16837
46200,16981
46300,16761
46400,17018
46500,17603
46600,17126
46700,16767
46800,17071
46900,17271
47000,16755
47100,17569
47200,18479
47300,21778
47400,17517
47500,16914
47600,17834
47700,16996
47800,17021
47900,19761
48000,22676
48100,18927
48200,17640
48300,17983
48400,17967
48500,17520
48600,18154
48700,18261
48800,18289
48900,18367
49000,18145
49100,20184
49200,23424
49300,22121
49400,18977
49500,18482
49600,18071
49700,17727
49800,17728
49900,18944
50000,18766
50100,18295
50200,18810
50300,18095
50400,18673
50500,23044
50600,23633
50700,24165
50800,24018
50900,21743
51000,19866
51100,18811
51200,18636
51300,18966
51400,19118
51500,19191
51600,19254
51700,19426
51800,18909
51900,24126
52000,20083
52100,19419
52200,19481
52300,20932
52400,25791
52500,19000
52600,20692
52700,24521
52800,19830
52900,18778
53000,19691
53100,19350
53200,19815
53300,19801
53400,19839
53500,19743
53600,19018
53700,19844
53800,19921
53900,19935
54000,20001
54100,20052
54200,20142
54300,19959
54400,20128
54500,20118
54600,24368
54700,21855
54800,20151
54900,24792
55000,21149
55100,20071
55200,20431
55300,21353
55400,21804
55500,28045
55600,22395
55700,22483
55800,23859
55900,25347
56000,28272
56100,25105
56200,22775
56300,23516
56400,23462
56500,22875
56600,24079
56700,23355
56800,24769
56900,25854
57000,22320
57100,26250
57200,33258
57300,22736
57400,21080
57500,20642
57600,20645
57700,20749
57800,21255
57900,21316
58000,20912
58100,25301
58200,24016
58300,21690
58400,21573
58500,21875
58600,21259
58700,21228
58800,21178
58900,21681
59000,25137
59100,23206
59200,21952
59300,21886
59400,21842
59500,21718
59600,27287
59700,22879
59800,23768
59900,26882
60000,22198
60100,22057
60200,22046
60300,21188
60400,22505
60500,21177
60600,21905
60700,22514
60800,22463
60900,24595
61000,21564
61100,22351
61200,28323
61300,22525
61400,22460
61500,22538
61600,22781
61700,25537
61800,26679
61900,22996
62000,24880
62100,24560
62200,23526
62300,29648
62400,22789
62500,24245
62600,23894
62700,23811
62800,23970
62900,24442
63000,24115
63100,30354
63200,24588
63300,24471
63400,24492
