size,time_micros
500,154
600,190
700,200
800,220
900,250
1000,303
1100,392
1200,402
1300,403
1400,436
1500,546
1600,496
1700,528
1800,560
1900,691
2000,684
2100,749
2200,897
2300,808
2400,848
2500,923
2600,1071
2700,1137
2800,1143
2900,1170
3000,1206
3100,1246
3200,1310
3300,1152
3400,1192
3500,1359
3600,1450
3700,1310
3800,1543
3900,1617
4000,1750
4100,1833
4200,1936
4300,1662
4400,1713
4500,2044
4600,1854
4700,1830
4800,1846
4900,1885
5000,1939
5100,2046
5200,2028
5300,2048
5400,2397
5500,2429
5600,2153
5700,2187
5800,2241
5900,2564
6000,2313
6100,2428
6200,2396
6300,2409
6400,2577
6500,2873
6600,2528
6700,2568
6800,2618
6900,3054
7000,3102
7100,2711
7200,2782
7300,3230
7400,2833
7500,3010
7600,2935
7700,3096
7800,3077
7900,3441
8000,3296
8100,3664
8200,3488
8300,4006
8400,4907
8500,4674
8600,5150
8700,4926
8800,4744
8900,4859
9000,5674
9100,5507
9200,5189
9300,4096
9400,4435
9500,4614
9600,4577
9700,4190
9800,4156
9900,4597
10000,4669
10100,4274
10200,4322
10300,4369
10400,4683
10500,4443
10600,4913
10700,4543
10800,5203
10900,4612
11000,4700
11100,5418
11200,4751
11300,4784
11400,4868
11500,5610
11600,4888
11700,5511
11800,5435
11900,5038
12000,5862
12100,5125
12200,5153
12300,6003
12400,5933
12500,6777
12600,7087
12700,7231
12800,5591
12900,5935
13000,5506
13100,5613
13200,5925
13300,5897
13400,5665
13500,6083
13600,6489
13700,5785
13800,6392
13900,6304
14000,5903
14100,6038
14200,6484
14300,6060
14400,6814
14500,6132
14600,6713
14700,6345
14800,6256
14900,7323
15000,7363
15100,9142
15200,8529
15300,7763
15400,6532
15500,7223
15600,7139
15700,7021
15800,6975
15900,7636
16000,7685
16100,7658
16200,7541
16300,7458
16400,7637
16500,7914
16600,8602
16700,8241
16800,8847
16900,8267
17000,10299
17100,10234
17200,10120
17300,10012
17400,10118
17500,8177
17600,8534
17700,8253
17800,8716
17900,8516
18000,9229
18100,8682
18200,10452
18300,11842
18400,10853
18500,8461
18600,9538
18700,8595
18800,10626
18900,11259
19000,11252
19100,9242
19200,9218
19300,9751
19400,9171
19500,9207
19600,9124
19700,9142
19800,9203
19900,9271
20000,9595
20100,9219
20200,10232
20300,9295
20400,10068
20500,10014
20600,10359
20700,9932
20800,10062
20900,10071
21000,10124
21100,10597
21200,10757
21300,10338
21400,10795
21500,9836
21600,10392
21700,13368
21800,13526
21900,11916
22000,12691
22100,12706
22200,12518
22300,12115
22400,11293
22500,10857
22600,10916
22700,10926
22800,11232
22900,11406
23000,11074
23100,11118
23200,11091
23300,11131
23400,11724
23500,11936
23600,11380
23700,12471
23800,11371
23900,11862
24000,12072
24100,11732
24200,14227
24300,14107
24400,11698
24500,11651
24600,11776
24700,11785
24800,11884
24900,12245
25000,12309
25100,12260
25200,15103
25300,15518
25400,11886
25500,12455
25600,12215
25700,15104
25800,15827
25900,12809
26000,12705
26100,13739
26200,13622
26300,11988
26400,12017
26500,12048
26600,13233
26700,15896
26800,16383
26900,12966
27000,13364
27100,13329
27200,13252
27300,12900
27400,12863
27500,13495
27600,14388
27700,16709
27800,15439
27900,13743
28000,12908
28100,14039
28200,12919
28300,13431
28400,13502
28500,13762
28600,13506
28700,13648
28800,13749
28900,14265
29000,14200
29100,17437
29200,17141
29300,13881
29400,13917
29500,14428
29600,14155
29700,14287
29800,14665
29900,14353
30000,14441
30100,14293
30200,14345
30300,14287
30400,14929
30500,13999
30600,14438
30700,18446
30800,18179
30900,15287
31000,14852
31100,15373
31200,15264
31300,14644
31400,15846
31500,15556
31600,16045
31700,16137
31800,15987
31900,15985
32000,15460
32100,16160
32200,20159
32300,19904
32400,17483
32500,17080
32600,16579
32700,17296
32800,16860
32900,17432
33000,17458
33100,16540
33200,17554
33300,17517
33400,17519
33500,16986
33600,21530
33700,20273
33800,17677
33900,17856
34000,18076
34100,17909
34200,17749
34300,17231
34400,18504
34500,17625
34600,18186
34700,18309
34800,18803
34900,18054
35000,17849
35100,18182
35200,18274
35300,17887
35400,18122
35500,18986
35600,18914
35700,18724
35800,18819
35900,21715
36000,20962
36100,18470
36200,18875
36300,19463
36400,18708
36500,19171
36600,19209
36700,19145
36800,18269
36900,19214
37000,19507
37100,19309
37200,19533
37300,20330
37400,18977
37500,19096
37600,19584
37700,19796
37800,19847
37900,23802
38000,21212
38100,19689
38200,23767
38300,23389
38400,20609
38500,23361
38600,23855
38700,20181
38800,20069
38900,20109
39000,20263
39100,20876
39200,20468
39300,19994
39400,20530
39500,20256
39600,20531
39700,22864
39800,24629
39900,21214
40000,20216
40100,20463
40200,20662
40300,21010
40400,20970
40500,21301
40600,20910
40700,21185
40800,21045
40900,21991
41000,22497
41100,20836
41200,21422
41300,21416
41400,21480
41500,23008
41600,26598
41700,26395
41800,23769
41900,21360
42000,21446
42100,23905
42200,30046
42300,25893
42400,22293
42500,21864
42600,22071
42700,22114
42800,21824
42900,22171
43000,22672
43100,22402
43200,22296
43300,22072
43400,22465
43500,22429
43600,23529
43700,22506
43800,22471
43900,22342
44000,22802
44100,22754
44200,23327
44300,23265
44400,23419
44500,22968
44600,22931
44700,22989
44800,25927
44900,29211
45000,27950
45100,23774
45200,23351
45300,23230
45400,23748
45500,26275
45600,27941
45700,24092
45800,27337
45900,26885
46000,24303
46100,24017
46200,23796
46300,23865
46400,23777
46500,26373
46600,30113
46700,24032
46800,23974
46900,23912
47000,24128
47100,28582
47200,27549
47300,24323
