size,time_micros
500,241
600,294
700,398
800,399
900,452
1000,587
1100,556
1200,611
1300,803
1400,1317
1500,1150
1600,1155
1700,893
1800,953
1900,1002
2000,1222
2100,1121
2200,1188
2300,1228
2400,1300
2500,1402
2600,1620
2700,1521
2800,1764
2900,1606
3000,1680
3100,1963
3200,1865
3300,1812
3400,1882
3500,1942
3600,1990
3700,2091
3800,2425
3900,2164
4000,2228
4100,2652
4200,2376
4300,2785
4400,2454
4500,2791
4600,2876
4700,2669
4800,3144
4900,3072
5000,3303
5100,3329
5200,3415
5300,3415
5400,3099
5500,3342
5600,3241
5700,3279
5800,3817
5900,4485
6000,4658
6100,3505
6200,3847
6300,3861
6400,3842
6500,3752
6600,4324
6700,4398
6800,3923
6900,4542
7000,4059
7100,4160
7200,4152
7300,4687
7400,4277
7500,4355
7600,5003
7700,4481
7800,5179
7900,4602
8000,4974
8100,4715
8200,6529
8300,6347
8400,4937
8500,5764
8600,5026
8700,5083
8800,5708
8900,5482
9000,5276
9100,5955
9200,5682
9300,7006
9400,7452
9500,7464
9600,5722
9700,5718
9800,6321
9900,5826
10000,6792
10100,6145
10200,6026
10300,6695
10400,6179
10500,6465
10600,6311
10700,7266
10800,6955
10900,6931
11000,6660
11100,6776
11200,7152
11300,7258
11400,6835
11500,7365
11600,7448
11700,7251
11800,7350
11900,7777
12000,7215
12100,7294
12200,8255
12300,7909
12400,7930
12500,7522
12600,7789
12700,7727
12800,7802
12900,7782
13000,8369
13100,7963
13200,8009
13300,8042
13400,8074
13500,8129
13600,9083
13700,10916
13800,12118
13900,10175
14000,14684
14100,10838
14200,9531
14300,8637
14400,8685
14500,8762
14600,8814
14700,8905
14800,8924
14900,8993
15000,10450
15100,10281
15200,10094
15300,10077
15400,10003
15500,9383
15600,10905
15700,10978
15800,9942
15900,10528
16000,10984
16100,10670
16200,10771
16300,11313
16400,11268
16500,11239
16600,11188
16700,11775
16800,11311
16900,10431
17000,13943
17100,11829
17200,11237
17300,11083
17400,11084
17500,10936
17600,10848
17700,11345
17800,11377
17900,11935
18000,11934
18100,12020
18200,11906
18300,11929
18400,11825
18500,11832
18600,12427
18700,12570
18800,12138
18900,12750
19000,12183
19100,12187
19200,11842
19300,12905
19400,11965
19500,12663
19600,15082
19700,16760
19800,12216
19900,12573
20000,13032
20100,13039
20200,13181
20300,13386
20400,13655
20500,13791
20600,17557
20700,16503
20800,17867
20900,14032
21000,13882
21100,13245
21200,13541
21300,14049
21400,14396
21500,14494
21600,14534
21700,14540
21800,14369
21900,14671
22000,14795
22100,14659
22200,14791
22300,15265
22400,16412
22500,15577
22600,15231
22700,18294
22800,17268
22900,15071
23000,14885
23100,14444
23200,15539
23300,15280
23400,14652
23500,15249
23600,15809
23700,16640
23800,20030
23900,16050
24000,15965
24100,16172
24200,19711
24300,19409
24400,16378
24500,16063
24600,15602
24700,16104
24800,16104
24900,16662
25000,16839
25100,16526
25200,16387
25300,16805
25400,17152
25500,17061
25600,17174
25700,17421
25800,16502
25900,17001
26000,16884
26100,17081
26200,17526
26300,17025
26400,17175
26500,17815
26600,18199
26700,17826
26800,17540
26900,17355
27000,18083
27100,18211
27200,17895
27300,18646
27400,22234
27500,18420
27600,18291
27700,18054
27800,18558
27900,18689
28000,18781
28100,18738
28200,19037
28300,18935
28400,24350
28500,19913
28600,19641
28700,18333
28800,19233
28900,19087
29000,19287
29100,22068
29200,24105
29300,22193
29400,19475
29500,19954
29600,19789
29700,24280
29800,19941
29900,19862
30000,19864
30100,19963
30200,22612
30300,23634
30400,20289
30500,23744
30600,21445
30700,20452
30800,20100
30900,19810
31000,20737
31100,20799
31200,20333
31300,21905
31400,25950
31500,21114
31600,21094
31700,20716
31800,21263
31900,21427
32000,21260
32100,21600
32200,21583
32300,21595
32400,21614
32500,22331
32600,22038
32700,25054
32800,24606
32900,22900
33000,22262
33100,22266
33200,22297
33300,22314
33400,22500
33500,26862
33600,24203
33700,24543
33800,26513
33900,23056
34000,23587
34100,23043
34200,23230
34300,23213
34400,29125
34500,23587
34600,23534
34700,23398
34800,23719
34900,30308
35000,27515
35100,24300
35200,24094
35300,24012
35400,23636
35500,23779
35600,23854
35700,24537
35800,24373
35900,24618
36000,24203
36100,24548
36200,24760
36300,24953
36400,31517
36500,24835
36600,24596
36700,24606
36800,25058
36900,25059
37000,25388
37100,25287
37200,24854
37300,25133
37400,25594
37500,25681
37600,29694
37700,27481
37800,28969
37900,31981
38000,29254
38100,27379
38200,26278
38300,29865
38400,25987
38500,26410
38600,26801
38700,26342
38800,28135
38900,31050
39000,27292
39100,27258
39200,34225
39300,32803
39400,26925
39500,27203
39600,32765
39700,27891
39800,27020
39900,30262
40000,30750
40100,27196
40200,27409
40300,27652
40400,27289
40500,27913
40600,27321
40700,32530
40800,31036
40900,31320
41000,30209
41100,28239
41200,28705
41300,28739
41400,28910
41500,35778
41600,29917
41700,31267
41800,29143
41900,28327
42000,35507
42100,28794
42200,35740
42300,34419
42400,29233
42500,35918
42600,29752
42700,29252
42800,29264
42900,29353
43000,29686
43100,30027
43200,29752
43300,29764
43400,29597
43500,30365
43600,29940
43700,30163
43800,29543
43900,30391
44000,35563
44100,30050
44200,30934
44300,30781
44400,30567
44500,30934
44600,31046
44700,30385
44800,32571
44900,34117
45000,31302
45100,34614
45200,34241
45300,37517
45400,32602
45500,31135
45600,36903
45700,32324
45800,38513
45900,32069
46000,32123
46100,31683
46200,40281
46300,32326
46400,31909
46500,32416
46600,31997
46700,40710
46800,32549
46900,32241
47000,31757
47100,32386
47200,32982
47300,41229
47400,37526
47500,32658
47600,36561
47700,40301
47800,34173
47900,33480
48000,40348
48100,38030
48200,33658
48300,33664
48400,33591
48500,33330
48600,33285
48700,33523
48800,40166
48900,33377
49000,35928
49100,41262
49200,35315
49300,39872
49400,33891
